cel-miR-72
cel-miR-73
cel-miR-74
cel-miR-75
cel-miR-76
cel-miR-77
hsa-let-7e
hsa-let-7f
hsa-let-7f
hsa-let-7g
hsa-let-7i
hsa-miR-100
hsa-miR-101*
hsa-miR-101
hsa-miR-103
hsa-miR-103
MI0000444
MI0006373
MI0000445
MI0006379
MI0006380
MI0006381
MI0006382
MIMAT0005886
MIMAT0005800
MIMAT0005887
MIMAT0005888
MIMAT0005797
MIMAT0005890
MIMAT0005890
MIMAT0005890
MIMAT0005890
MIMAT0005890
MIMAT0005890
